,id,name,city,cuisine,rating
6142,6142,L'Artisan du Burger,Paris,"french, american, fast food, vegetarian friendly",3.5
6143,6143,Le P'tit Zinc,Paris,french,4.0
6144,6144,Mogo,Paris,"asian, korean",4.5
6145,6145,Dagorno,Paris,french,4.5
6146,6146,Le Souk,Paris,"moroccan, mediterranean, middle eastern, halal",3.5
6147,6147,Pho 168,Paris,vegetarian friendly,3.5
6149,6149,La Crepe En l'Isle,Paris,"french, european",4.0
6150,6150,Le relais du bois,Paris,"french, european",4.0
6151,6151,Ernest,Paris,"french, bar, european",3.5
6152,6152,Le Guersant,Paris,french,4.0
6153,6153,La Madonnina,Paris,"italian, european",3.5
6154,6154,Shalini,Paris,indian,4.5
6156,6156,Au Va et Vient,Paris,french,4.0
6157,6157,Le Comptoir du 5eme,Paris,french,3.5
6158,6158,La Marina,Paris,japanese,4.5
6159,6159,Restaurant Jardin Notre Dame,Paris,"french, european",3.5
6160,6160,Hayashi Sushi,Paris,"sushi, asian",4.0
6161,6161,Lyna Ristorante,Paris,"italian, pizza, seafood, mediterranean, vegetarian friendly",4.0
6162,6162,d'jawa Montmartre,Paris,"asian, indonesian, vegetarian friendly, halal",4.0
6164,6164,Thai Yim 2,Paris,thai,4.0
6165,6165,Svetlana,Paris,"russian, eastern european",4.0
6166,6166,Le Zorba,Paris,"bar, pub",4.5
6167,6167,Dalea,Paris,"french, bar, european",3.5
6168,6168,Top Sushi,Paris,"chinese, japanese, asian, thai, vietnamese",4.0
6169,6169,Crep'ile,Paris,french,4.5
6172,6172,Sourire d'Asie,Paris,vietnamese,4.0
6173,6173,Le Genie Sous Les Etoiles,Paris,french,4.0
6175,6175,Art bistro,Paris,"french, european",3.5
6176,6176,Ker Juliette,Paris,"french, fast food",4.5
6177,6177,Le Terroir est Dans le Pre,Paris,"french, fast food, healthy",4.5
6179,6179,Super Vegan,Paris,"fast food, vegetarian friendly, vegan options",4.0
6180,6180,Pau Brasil Paris,Paris,brazilian,3.5
6181,6181,El Sol Comptoir Espagnol,Paris,spanish,4.0
6182,6182,Bombolo',Paris,"italian, mediterranean",4.0
6183,6183,Les Fontaines,Paris,"french, bar, european",3.5
