,id,name,city,rating,Reviews
2873,2873,Le Comptoir de L'Artoise,Paris,4.0,great little find delightful!
2874,2874,Restaurant Lumen,Paris,4.0,perfect spot first night paris fantastically mouth-watering dishes
2875,2875,Gros,Paris,4.0,superb simply amazing
2876,2876,Pasdeloup,Paris,4.5,amazing meal wonderful service cosy design bar smart cocktails
2877,2877,Kim & Kim,Paris,4.0,korean restaurant great simple korean restaurant
2878,2878,Who's Bar,Paris,4.0,fabulous brunch funky fun restaurant great burger
2879,2879,My Little Cellar,Paris,5.0,brilliant
2880,2880,7 Au Marais,Paris,5.0,great brunch unique place amazing service
2881,2881,Rice Trotters,Paris,4.5,hair rice... fresh healthy cheap
2882,2882,Loyal Cafe Cantine,Paris,4.5,everything great ! great coffee great people english speaki...
2883,2883,Le Mezze Du Chef Cig Kofte,Paris,4.5,full vegeterian & vegan super!
2884,2884,Le Stendhal - Bistrot,Paris,4.5,le stendhal 30 great food!!
2885,2885,Pret a manger,Paris,4.5,great location great service perfect place visit within budget and...
2886,2886,Maison Tete Paris Cadet,Paris,5.0,genuine exquisite taste gascogne real local tastes
2887,2887,Nirvana Dream,Paris,4.5,excellent food service ambience delicious nepalese gastronomy!!!
2888,2888,Oenosteria,Paris,4.0,seems authentic fantastic!
2889,2889,Les Canailles Menilmontant,Paris,5.0,delicious authentic french dinner
2890,2890,Sushiko,Paris,4.5,salmon!! good choice.
2891,2891,Fitzgerald,Paris,4.0,cocktails ?┘ì? dinner enjoyed
2892,2892,Le Petit Capucci,Paris,5.0,delicious! best
2893,2893,La Mauvaise Reputation,Paris,4.5,wow lovely food nice find
2894,2894,A la Tete d'Or,Paris,4.0,good food top quality beef
2895,2895,Le Lhassa,Paris,4.0,nice food adequate good portions unusual dini...
2896,2896,Les Agapes,Paris,4.5,good food atmosphere genuine bristrot porte de saint cloud
2897,2897,Marcel,Paris,3.5,particular experience cozy place affordable price
2898,2898,Les Argentiers,Paris,4.5,great staff great food - highly recommend... perfect eneving meal
2899,2899,Domaine de Lintillac,Paris,4.5,cassoulet & foie gras se 7th traditional/regional
2900,2900,il giramondo,Paris,4.5,delicious food great service traiteur restaurant wha...
2901,2901,Napoletano,Paris,4.0,best pizza ever (thick dough) excellent crowded local place. amazing piz...
2902,2902,TonTon Jaures,Paris,4.0,good food terrible service good food nice place
2903,2903,La Bascule,Paris,4.5,cool place local pub brilliant food
